1,1,1,1,1,1,1,1,1,1
0,-1,667,2,90,43,1,-1,-1,-1
1,-1,667,157,82,119,1,-1,-1,-1
2,-1,674,287,81,111,1,-1,-1,-1
3,-1,681,473,67,96,1,-1,-1,-1
4,-1,674,645,71,92,1,-1,-1,-1
5,-1,696,811,63,105,1,-1,-1,-1
8,-1,491,8,74,55,1,-1,-1,-1
9,-1,505,225,86,64,1,-1,-1,-1
10,-1,517,474,77,77,1,-1,-1,-1
11,-1,527,732,73,89,1,-1,-1,-1
12,-1,529,1002,77,23,1,-1,-1,-1
15,-1,893,9,93,80,1,-1,-1,-1
15,-1,670,5,80,97,1,-1,-1,-1
16,-1,898,201,94,62,1,-1,-1,-1
16,-1,682,223,74,97,1,-1,-1,-1
17,-1,899,397,90,58,1,-1,-1,-1
17,-1,703,473,78,77,1,-1,-1,-1
18,-1,917,592,83,70,1,-1,-1,-1
18,-1,742,644,56,58,1,-1,-1,-1
19,-1,910,771,84,52,1,-1,-1,-1
19,-1,749,852,45,39,1,-1,-1,-1
33,-1,349,18,56,88,1,-1,-1,-1
34,-1,357,358,65,113,1,-1,-1,-1
35,-1,356,705,73,104,1,-1,-1,-1
40,-1,144,225,86,91,1,-1,-1,-1
41,-1,151,528,89,91,1,-1,-1,-1
42,-1,154,814,95,90,1,-1,-1,-1
74,-1,804,58,33,43,1,-1,-1,-1
75,-1,816,267,50,78,1,-1,-1,-1
76,-1,823,545,57,85,1,-1,-1,-1
78,-1,601,6,83,93,1,-1,-1,-1
79,-1,607,287,84,94,1,-1,-1,-1
80,-1,615,584,69,65,1,-1,-1,-1
88,-1,267,84,109,93,1,-1,-1,-1
89,-1,261,471,124,71,1,-1,-1,-1
91,-1,29,0,166,96,1,-1,-1,-1
92,-1,36,362,155,96,1,-1,-1,-1
93,-1,59,718,165,106,1,-1,-1,-1
