9,flower,1,588,107,50,65
10,flower,1,617,328,43,58
11,flower,1,631,614,37,64
12,flower,2,789,211,43,39
13,flower,2,792,565,63,50
35,flower,3,765,78,44,56
36,flower,3,766,369,59,53
37,flower,3,785,693,69,55
46,flower,4,900,455,39,52
46,flower,5,995,323,29,50
47,flower,4,909,810,43,85
49,flower,6,523,614,42,56
50,flower,6,529,912,46,61
55,flower,7,792,203,82,74
56,flower,7,814,684,70,77
57,flower,8,952,90,45,53
58,flower,8,970,527,33,48
58,flower,9,820,313,43,57
59,flower,8,981,915,40,57
59,flower,9,847,693,52,65
60,flower,10,881,163,70,81
60,flower,11,886,291,67,55
61,flower,10,894,596,62,80
62,flower,10,902,993,50,31
65,flower,12,459,129,59,56
66,flower,12,479,509,37,37
81,flower,13,745,266,70,51
81,flower,14,702,262,43,42
82,flower,13,778,748,56,69
82,flower,14,737,739,44,73
95,flower,15,364,3,88,55
96,flower,15,397,354,61,69
96,flower,16,625,327,68,54
97,flower,16,640,739,71,62
97,flower,15,418,660,69,71
98,flower,17,477,321,47,46
99,flower,17,492,677,46,60
