0,flower,1,799,76,70,92
1,flower,1,804,356,83,94
2,flower,2,853,204,94,77
2,flower,1,815,666,80,85
3,flower,2,866,575,71,104
4,flower,2,867,807,66,99
4,flower,3,480,69,33,49
5,flower,3,484,324,33,56
6,flower,3,483,560,51,74
7,flower,3,490,782,57,70
8,flower,3,492,978,45,46
9,flower,4,585,83,56,63
10,flower,4,609,416,53,72
10,flower,5,562,71,96,85
11,flower,5,572,532,93,74
12,flower,5,589,926,95,66
12,flower,6,360,-1,46,77
13,flower,6,375,330,45,66
14,flower,6,402,675,34,58
15,flower,6,409,912,59,85
15,flower,7,541,134,64,91
15,flower,8,449,54,69,92
16,flower,7,554,387,76,97
16,flower,8,459,313,76,94
17,flower,7,576,651,63,89
17,flower,8,480,586,66,74
18,flower,8,499,930,71,62
18,flower,9,555,7,68,72
19,flower,9,571,412,73,79
20,flower,9,597,817,70,70
20,flower,10,564,862,75,60
20,flower,11,363,159,66,85
20,flower,12,346,84,73,73
20,flower,13,295,98,50,67
21,flower,11,389,601,59,67
21,flower,12,368,540,64,75
21,flower,13,323,482,54,71
22,flower,12,371,879,48,71
22,flower,14,851,247,65,108
22,flower,15,894,242,66,96
22,flower,12,428,991,61,33
23,flower,14,869,701,58,111
23,flower,15,897,676,75,108
23,flower,16,982,206,39,106
24,flower,16,1001,618,23,99
27,flower,46,704,51,46,37
28,flower,46,729,459,45,53
29,flower,17,570,23,87,69
29,flower,46,750,827,40,50
29,flower,47,893,251,58,48
30,flower,17,606,397,75,82
30,flower,18,541,18,76,86
30,flower,47,916,629,54,47
31,flower,17,630,740,76,84
31,flower,18,565,342,70,89
31,flower,19,251,12,53,73
31,flower,47,931,950,48,50
32,flower,18,589,695,65,69
32,flower,19,266,281,50,76
32,flower,20,299,238,49,63
33,flower,19,288,527,50,70
33,flower,20,318,503,46,54
33,flower,18,608,982,64,42
34,flower,19,314,797,44,70
34,flower,20,345,786,44,71
36,flower,21,516,172,48,78
36,flower,22,506,0,70,41
37,flower,21,527,481,54,71
37,flower,22,533,281,62,79
38,flower,21,514,809,68,73
38,flower,22,541,649,48,85
45,flower,48,269,58,51,64
46,flower,23,767,128,60,76
46,flower,48,283,281,46,60
47,flower,23,776,422,52,70
47,flower,24,726,225,75,94
47,flower,48,299,520,37,57
48,flower,23,771,745,54,76
48,flower,24,732,601,58,77
48,flower,48,313,794,38,53
48,flower,49,423,216,44,56
49,flower,49,432,578,46,49
53,flower,25,507,160,76,89
54,flower,25,524,495,67,92
55,flower,25,544,749,64,87
56,flower,25,546,957,69,62
63,flower,26,438,549,32,53
64,flower,26,452,811,49,52
64,flower,27,769,31,83,98
65,flower,27,789,367,75,89
66,flower,27,800,661,70,78
67,flower,28,560,34,78,80
67,flower,50,383,273,48,45
68,flower,28,591,396,79,77
68,flower,50,408,589,40,45
69,flower,28,610,673,79,85
69,flower,50,424,823,50,39
70,flower,28,619,925,85,87
74,flower,29,478,189,46,48
75,flower,29,495,508,62,63
75,flower,30,319,207,50,86
75,flower,31,362,175,44,45
76,flower,29,535,826,54,66
76,flower,30,355,522,46,91
76,flower,31,401,523,50,53
77,flower,30,380,810,52,82
78,flower,33,366,144,42,87
78,flower,34,790,52,65,77
79,flower,33,379,357,48,89
79,flower,34,817,350,64,78
80,flower,33,397,591,54,81
80,flower,34,836,648,65,79
81,flower,33,413,848,47,86
81,flower,34,839,988,53,36
85,flower,35,589,0,42,53
86,flower,35,603,356,45,73
87,flower,35,616,716,51,79
87,flower,36,737,211,54,62
88,flower,36,771,650,48,56
89,flower,37,485,35,69,76
89,flower,38,587,72,94,104
90,flower,37,506,423,73,73
90,flower,38,623,475,74,89
91,flower,37,529,732,75,65
91,flower,38,639,791,77,84
93,flower,39,290,183,73,103
94,flower,39,319,530,67,102
94,flower,40,377,68,49,60
94,flower,41,460,379,57,75
95,flower,39,333,796,74,100
95,flower,40,393,312,43,50
95,flower,41,481,619,42,75
96,flower,41,490,805,42,76
96,flower,40,402,499,46,59
97,flower,40,413,742,51,56
97,flower,42,539,0,81,61
98,flower,42,562,287,73,88
98,flower,43,344,0,76,62
99,flower,43,345,297,84,97
99,flower,44,519,219,78,92
99,flower,45,651,130,72,84
